YEAR,Location,Death Rate,Deaths,URL
2021,SC,13.4,656,/nchs/state-stats/states/sc.html
2021,SD,5.3,45,/nchs/state-stats/states/sd.html
2021,TN,12.2,810,/nchs/state-stats/states/tn.html
2021,TX,8.2,2391,/nchs/state-stats/states/tx.html
2021,UT,2.7,91,/nchs/state-stats/states/ut.html
2021,VT,,10,/nchs/state-stats/states/vt.html
2021,VA,7.2,606,/nchs/state-stats/states/va.html
2021,WA,4.5,346,/nchs/state-stats/states/wa.html
2021,WV,6.9,114,/nchs/state-stats/states/wv.html
2021,WI,6.4,348,/nchs/state-stats/states/wi.html
2021,WY,,16,/nchs/state-stats/states/wy.html
2020,AL,14.2,654,/nchs/state-stats/states/al.html
2020,AK,7.3,55,/nchs/state-stats/states/ak.html
2020,AZ,7.5,525,/nchs/state-stats/states/az.html
2020,AR,13,371,/nchs/state-stats/states/ar.html
2020,CA,6.1,2368,/nchs/state-stats/states/ca.html
2020,CO,5.8,336,/nchs/state-stats/states/co.html
2020,CT,4.6,152,/nchs/state-stats/states/ct.html
2020,DE,9.9,86,/nchs/state-stats/states/de.html
2020,District of Columbia,24.4,187,/nchs/state-stats/states/dc.html
2020,FL,7.8,1530,/nchs/state-stats/states/fl.html
2020,GA,10.5,1093,/nchs/state-stats/states/ga.html
2020,HI,3.3,46,/nchs/state-stats/states/hi.html
2020,ID,2.5,42,/nchs/state-stats/states/id.html
2020,IL,11.2,1353,/nchs/state-stats/states/il.html
2020,IN,9.7,620,/nchs/state-stats/states/in.html
2020,IA,3.6,106,/nchs/state-stats/states/ia.html
2020,KS,7,195,/nchs/state-stats/states/ks.html
2020,KY,9.5,404,/nchs/state-stats/states/ky.html
2020,LA,19.9,873,/nchs/state-stats/states/la.html
2020,ME,1.6,21,/nchs/state-stats/states/me.html
2020,MD,11.4,649,/nchs/state-stats/states/md.html
2020,MA,2.7,183,/nchs/state-stats/states/ma.html
2020,MI,8.7,811,/nchs/state-stats/states/mi.html
2020,MN,3.6,198,/nchs/state-stats/states/mn.html
2020,MS,20.5,576,/nchs/state-stats/states/ms.html
2020,MO,14,803,/nchs/state-stats/states/mo.html
2020,MT,6.6,65,/nchs/state-stats/states/mt.html
2020,NE,4.1,76,/nchs/state-stats/states/ne.html
2020,NV,7.3,217,/nchs/state-stats/states/nv.html
2020,NH,0,14,/nchs/state-stats/states/nh.html
2020,NJ,4.3,362,/nchs/state-stats/states/nj.html
2020,NM,10.8,216,/nchs/state-stats/states/nm.html
2020,NY,4.7,875,/nchs/state-stats/states/ny.html
2020,NC,8.6,884,/nchs/state-stats/states/nc.html
2020,ND,4.4,30,/nchs/state-stats/states/nd.html
2020,OH,9.1,1004,/nchs/state-stats/states/oh.html
2020,OK,9,342,/nchs/state-stats/states/ok.html
2020,OR,3.8,157,/nchs/state-stats/states/or.html
2020,PA,8.5,994,/nchs/state-stats/states/pa.html
2020,RI,3,29,/nchs/state-stats/states/ri.html
2020,SC,12.7,622,/nchs/state-stats/states/sc.html
2020,SD,6.5,52,/nchs/state-stats/states/sd.html
2020,TN,11.5,753,/nchs/state-stats/states/tn.html
2020,TX,7.6,2212,/nchs/state-stats/states/tx.html
2020,UT,2.9,95,/nchs/state-stats/states/ut.html
2020,VT,,14,/nchs/state-stats/states/vt.html
2020,VA,6.4,531,/nchs/state-stats/states/va.html
2020,WA,4.2,322,/nchs/state-stats/states/wa.html
2020,WV,7,114,/nchs/state-stats/states/wv.html
2020,WI,6.1,334,/nchs/state-stats/states/wi.html
2020,WY,4.9,25,/nchs/state-stats/states/wy.html
2019,AL,12.8,587,/nchs/state-stats/states/al.html
2019,AK,10.8,78,/nchs/state-stats/states/ak.html
2019,AZ,5.9,414,/nchs/state-stats/states/az.html
2019,AR,9.4,270,/nchs/state-stats/states/ar.html
2019,CA,4.5,1794,/nchs/state-stats/states/ca.html
2019,CO,4.3,250,/nchs/state-stats/states/co.html
2019,CT,3.1,106,/nchs/state-stats/states/ct.html
2019,DE,6.1,53,/nchs/state-stats/states/de.html
2019,District of Columbia,21.3,162,/nchs/state-stats/states/dc.html
2019,FL,6.7,1334,/nchs/state-stats/states/fl.html
2019,GA,8.1,849,/nchs/state-stats/states/ga.html
2019,HI,2.5,35,/nchs/state-stats/states/hi.html
2019,ID,1.7,27,/nchs/state-stats/states/id.html
2019,IL,8.1,979,/nchs/state-stats/states/il.html
2019,IN,7.2,466,/nchs/state-stats/states/in.html
2019,IA,2.7,80,/nchs/state-stats/states/ia.html
2019,KS,4.9,137,/nchs/state-stats/states/ks.html
2019,KY,5.9,250,/nchs/state-stats/states/ky.html
2019,LA,14.7,650,/nchs/state-stats/states/la.html
2019,ME,1.8,23,/nchs/state-stats/states/me.html
2019,MD,10,578,/nchs/state-stats/states/md.html
2019,MA,2.3,157,/nchs/state-stats/states/ma.html
2019,MI,6.5,612,/nchs/state-stats/states/mi.html
2019,MN,2.8,154,/nchs/state-stats/states/mn.html
2019,MS,15.4,434,/nchs/state-stats/states/ms.html
2019,MO,10.8,628,/nchs/state-stats/states/mo.html
2019,MT,3.7,39,/nchs/state-stats/states/mt.html
2019,NE,3.1,58,/nchs/state-stats/states/ne.html
2019,NV,5.5,166,/nchs/state-stats/states/nv.html
2019,NH,2.8,38,/nchs/state-stats/states/nh.html
2019,NJ,3.4,287,/nchs/state-stats/states/nj.html
2019,NM,11.8,230,/nchs/state-stats/states/nm.html
2019,NY,3.2,601,/nchs/state-stats/states/ny.html
2019,NC,7,707,/nchs/state-stats/states/nc.html
2019,ND,3.1,21,/nchs/state-stats/states/nd.html
2019,OH,6.6,724,/nchs/state-stats/states/oh.html
2019,OK,8.8,333,/nchs/state-stats/states/ok.html
2019,OR,3,126,/nchs/state-stats/states/or.html
2019,PA,6.1,722,/nchs/state-stats/states/pa.html
2019,RI,2.5,23,/nchs/state-stats/states/ri.html
2019,SC,11,527,/nchs/state-stats/states/sc.html
2019,SD,3.6,29,/nchs/state-stats/states/sd.html
2019,TN,9.2,596,/nchs/state-stats/states/tn.html
2019,TX,5.9,1694,/nchs/state-stats/states/tx.html
2019,UT,2.6,82,/nchs/state-stats/states/ut.html
2019,VT,,11,/nchs/state-stats/states/vt.html
2019,VA,5.3,436,/nchs/state-stats/states/va.html
2019,WA,3.2,241,/nchs/state-stats/states/wa.html
2019,WV,5.7,92,/nchs/state-stats/states/wv.html
2019,WI,4.2,226,/nchs/state-stats/states/wi.html
2019,WY,4.4,25,/nchs/state-stats/states/wy.html
2018,AL,12.2,568,/nchs/state-stats/states/al.html
2018,AK,7.5,56,/nchs/state-stats/states/ak.html
2018,AZ,6.1,420,/nchs/state-stats/states/az.html
2018,AR,9.1,264,/nchs/state-stats/states/ar.html
2018,CA,4.8,1890,/nchs/state-stats/states/ca.html
2018,CO,4.7,263,/nchs/state-stats/states/co.html
2018,CT,2.8,92,/nchs/state-stats/states/ct.html
2018,DE,6.8,57,/nchs/state-stats/states/de.html
